Principal|Nivel|Artículo|Descripción|Tipo|Estado|Planeador|Sec Artículo|Sec Op|UDM|Cantidad Unitaria|Cantidad Extendida|Tipo Suministro|Subinventario|Localizador|Tipo Costo|Costo Materiales|Costo Recurso|Gsto Grl|Costo Unitario|Costo Extendido|Accesorio S/N|Fecha inactivo|Alterno|Component_Yiel|Categoria Producto
22000010925|0|22000010925|NAVE PUERTA VIDRIO DE 90CM H MENOR IGUAL 318 VETRO VTPT010000||Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
22000010925|1|22005398|VIDRIO TRANSPARENTE TEMPLADO DE 10MM SOLO VETRO|MP|Active||10|10|m2|2.6368|2.6368|Proceso Tirar Operación|CARPINT|VID.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010925|1|22005938|BISAGRA LATERAL  CON PLACA DE FIJACION ITALIANA REF 8SI002 DE 45MM|MP|Active||20|10|und|3|3|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010925|1|22000157|TORNILLO AUTOPERFORANTE CABEZA AVELLANADA 6 X 1 ZINCADO|MP|Active||30|10|und|13|13|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010925|1|22005527|CERRADURA NAVE PUERTA VIDRIO VETRO (MANIJA DOBLE CON DOBLE LLAVE Y SEGURO EN ALUMINIO PARA VIDRIO 10MM - HOPPE HCS GD A113-2574155)|MP|Active||40|10|und|1|1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010925|1|25065842|ARMADA-RECIBIDOR CERRADURA NAVE PUERTA VIDRIO VETRO VTPT010011|AI|Active||50|10|und|1|1|Proceso Tirar Operación|SOLDADURA|SOL.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010925|2|25079671|PARTE-CUERPO SUPERIOR RECIBIDOR CERRADURA NAVE PUERTA VIDRIO VETRO VTPT010012|AI|Active||10|10|und|1|1|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010925|3|22008931|LAMINA PLANA CR 4X8  ESPESOR 3.0MM (DECAPADA Y ACEITADA)|MP|Active||10|10|kg|.06081|.06081|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010925|2|25079672|PARTE-COMPLEMENTO RECIBIDOR CERRADURA NAVE PUERTA VIDRIO VETRO VTPT010013|AI|Active||20|10|und|1|1|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010925|3|22006027|LAMINA PLANA 4X8 ESPESOR 1.20MM|MP|Active||10|10|kg|.02453|.02453|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000010925|1|22008555|GENERICO PINTURA EN POLVO MUEBLES|MP|Active||100|10|kg|.000612|.000612|Proceso Tirar Operación|MP_WIP|PI.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000011004|0|22000011004|PERFIL FLOTANTE ALUMINIO A 180 GRADOS DE 600CM VETRO VTAC020000||Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
